,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,images
79,79,79,79,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,7.2,https://m.media-amazon.com/images/M/MV5BMDU1MjdhN2UtNGRjMC00N2M4LTg1ZTUtZDIzZjIyMzA3YWRmXkEyXkFqcGdeQXVyMjM4NTM5NDY@.jpg
80,80,80,80,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,6.2,https://m.media-amazon.com/images/M/MV5BZWU5MjMxYmMtYzY2NS00MDU1LWIwMzAtMzIwYjY5NDIxZjZkXkEyXkFqcGdeQXVyMjM4NTM5NDY@.jpg
81,81,81,81,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin ýýkerman,Action Adventure Science Fiction,rampage,6.4,https://m.media-amazon.com/images/M/MV5BNDA1NjA3ODU3OV5BMl5BanBnXkFtZTgwOTg3MTIwNTM@.jpg
82,82,82,82,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,6.0,https://m.media-amazon.com/images/M/MV5BMTg4NzQ3NDM1Nl5BMl5BanBnXkFtZTcwNjEzMjM3OA@@.jpg
83,83,83,83,Chloýý Zhao,Brady Jandreau,unknown,unknown,Drama Western,the rider,7.4,https://m.media-amazon.com/images/M/MV5BMjQ3ODM5MjY2N15BMl5BanBnXkFtZTgwOTU5MjM4NDM@.jpg
84,84,84,84,Richard Lanni,Logan Lerman,Helena Bonham Carter,Gýýrard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,7.1,https://m.media-amazon.com/images/M/MV5BMTY5NzEwNDczMl5BMl5BanBnXkFtZTgwMjY1MTY4NDM@.jpg
85,85,85,85,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,6.4,https://m.media-amazon.com/images/M/MV5BMGI3ZDRjZTQtMTMyYy00NGI4LWI2MjktNzMyMjg0NjQ2NTY0XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
86,86,86,86,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,5.8,https://m.media-amazon.com/images/M/MV5BZmFhMjM2NmQtYWM3Yi00YmJhLWIxOTgtYWY3ZjNlYzMwOWJmXkEyXkFqcGdeQXVyMjM4NTM5NDY@.jpg
87,87,87,87,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Thriller Horror,traffik,6.3,https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg
88,88,88,88,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama,the house of tomorrow,6.4,https://m.media-amazon.com/images/M/MV5BMTY4MTkxNTMzMF5BMl5BanBnXkFtZTgwMTI0OTg5NDM@.jpg
